No,기관코드,기관명,요양번호,기관분류,의료기관분류,지역,기관주소(도로명)
1,A1300002,경북대학교병원,37100017,상급종합병원,권역응급의료센터,대구,"대구광역시 중구 동덕로 130, (삼덕동2가,경북대학교병원)"
2,A2400002,단국대학교의과대학부속병원,34100199,상급종합병원,권역응급의료센터,충남,"충청남도 천안시 동남구 망향로 201, (안서동, 단국대학교의과대학부속병원)"
3,A1200002,부산대학교병원,21100021,상급종합병원,권역응급의료센터,부산,"부산광역시 서구 구덕로 179, (아미동1가,부산대학병원)"
4,A2100001,분당서울대학교병원,31100813,상급종합병원,권역응급의료센터,경기,"경기도 성남시 분당구 구미로173번길 82, (구미동)"
5,A1100017,서울대학교병원,11100079,상급종합병원,권역응급의료센터,서울,"서울특별시 종로구 대학로 101, (연건동)"
6,A2100002,아주대학교병원,31100473,상급종합병원,권역응급의료센터,경기,"경기도 수원시 영통구 월드컵로 164, (원천동)"
7,A2200001,연세대학교원주세브란스기독병원,32100035,상급종합병원,권역응급의료센터,강원,"강원도 원주시 일산로 20, (일산동)"
8,A1400001,의료법인길의료재단길병원,31100309,상급종합병원,권역응급의료센터,인천,"인천광역시 남동구 남동대로774번길 21, (구월동)"
9,A1500002,전남대학교병원,36100013,상급종합병원,권역응급의료센터,광주,"광주광역시 동구 제봉로 42, (학동)"
10,A2500002,전북대학교병원,35100010,상급종합병원,권역응급의료센터,전북,"전라북도 전주시 덕진구 건지로 20, (금암동)"
11,A1600001,충남대학교병원,34100016,상급종합병원,권역응급의료센터,대전,대전광역시 중구 문화로 282 충남대학교병원
12,A2300001,충북대학교병원,33100128,상급종합병원,권역응급의료센터,충북,"충청북도 청주시 서원구 1순환로 776, (개신동)"
13,A1700004,학교법인울산공업학원울산대학교병원,38100231,상급종합병원,권역응급의료센터,울산,"울산광역시 동구 방어진순환도로 877, (전하동)"
14,A1500001,조선대학교병원,36100021,상급종합병원,전문응급의료센터,광주,"광주광역시 동구 필문대로 365, (학동)"
15,A1100008,(학)고려중앙학원고려대학교의과대학부속병원(안암병원),11100117,상급종합병원,지역응급의료센터,서울,"서울특별시 성북구 인촌로 73, (안암동5가)"
16,A1200001,(학교법인)인제대학교부산백병원,21100063,상급종합병원,지역응급의료센터,부산,부산광역시 부산진구 복지로 75 (개금동)
17,A1400012,가톨릭대학교인천성모병원,31100031,상급종합병원,지역응급의료센터,인천,"인천광역시 부평구 동수로 56, (부평동)"
18,A1100002,건국대학교병원,11100435,상급종합병원,지역응급의료센터,서울,"서울특별시 광진구 능동로 120-1, (화양동)"
19,A2800001,경상대학교병원,38100215,상급종합병원,지역응급의료센터,경남,"경상남도 진주시 강남로 79, (칠암동,경상대학교병원)"
20,A1100001,경희대학교병원,11100168,상급종합병원,지역응급의료센터,서울,"서울특별시 동대문구 경희대로 23, (회기동)"
21,A1300003,계명대학교동산병원,37100025,상급종합병원,지역응급의료센터,대구,"대구광역시 중구 달성로 56, (동산동,계명대학교동산의료원)"
22,A1100014,고려대의과대학부속구로병원,11100494,상급종합병원,지역응급의료센터,서울,"서울특별시 구로구 구로동로 148, (구로동)"
23,A2100003,고려대의과대학부속안산병원,31100252,상급종합병원,지역응급의료센터,경기,"경기도 안산시 단원구 적금로 123, (고잔동)"
24,A1200004,고신대학교복음병원,21100039,상급종합병원,지역응급의료센터,부산,"부산광역시 서구 감천로 262, (암남동)"
25,A1300004,대구가톨릭대학교병원,37100092,상급종합병원,지역응급의료센터,대구,"대구광역시 남구 두류공원로17길 33, (대명동)"
26,A1200003,동아대학교병원,21100390,상급종합병원,지역응급의료센터,부산,"부산광역시 서구 대신공원로 26, 동아대학교병원 (동대신동3가)"
27,A1100010,삼성서울병원,11100958,상급종합병원,지역응급의료센터,서울,"서울특별시 강남구 일원로 81, (일원동)"
28,A1100006,삼성의료재단강북삼성병원,11100095,상급종합병원,지역응급의료센터,서울,"서울특별시 종로구 새문안로 29, (평동)"
29,A2800011,양산부산대학교병원,38100509,상급종합병원,지역응급의료센터,경남,"경상남도 양산시 물금읍 금오로 20, (양산부산대학교병원)"
30,A1100015,연세대학교의과대학강남세브란스병원,11100443,상급종합병원,지역응급의료센터,서울,"서울특별시 강남구 언주로 211, (도곡동)"
31,A1300001,영남대학교병원,37100149,상급종합병원,지역응급의료센터,대구,"대구광역시 남구 현충로 170, (대명동,영남대학교의료원)"
32,A2500001,원광대학교의과대학병원,35100061,상급종합병원,지역응급의료센터,전북,"전라북도 익산시 무왕로 895, (신동)"
33,A1100005,이화여자대학교의과대학부속목동병원,11100915,상급종합병원,지역응급의료센터,서울,"서울특별시 양천구 안양천로 1071, (목동)"
34,A1400002,인하대학교의과대학부속병원,31100554,상급종합병원,지역응급의료센터,인천,"인천광역시 중구 인항로 27, (신흥동3가)"
35,A1100009,재단법인아산사회복지재단서울아산병원,11100800,상급종합병원,지역응급의료센터,서울,"서울특별시 송파구 올림픽로43길 88, (풍납동,서울아산병원)"
36,A1100003,중앙대학교병원,11100052,상급종합병원,지역응급의료센터,서울,"서울특별시 동작구 흑석로 102, (흑석동)"
37,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,11100338,상급종합병원,지역응급의료센터,서울,"서울특별시 서초구 반포대로 222, (반포동)"
38,A2100005,학교법인동은학원순천향대학교부속부천병원,31100767,상급종합병원,지역응급의료센터,경기,"경기도 부천시 원미구 조마루로 170, (중동)"
39,A2400001,학교법인동은학원순천향대학교부속천안병원,34100296,상급종합병원,지역응급의료센터,충남,충청남도 천안시 동남구 순천향6길 31 (봉명동)
40,A1100007,학교법인연세대학교의과대학세브란스병원,11100206,상급종합병원,지역응급의료센터,서울,서울특별시 서대문구 연세로 50-1
41,A2100004,한림대학교성심병원,31100627,상급종합병원,지역응급의료센터,경기,"경기도 안양시 동안구 관평로170번길 22, (평촌동)"
42,A1100013,한양대학교병원,11100184,상급종합병원,지역응급의료센터,서울,서울특별시 성동구 왕십리로 222-1
43,A2600001,화순전남대학교병원,36100498,상급종합병원,지역응급의료센터,전남,"전라남도 화순군 화순읍 서양로 322,"
44,A2100040,가톨릭대학교의정부성모병원,31100295,종합병원,권역응급의료센터,경기,"경기도 의정부시 천보로 271, (금오동)"
45,A2200008,강릉아산병원,32100191,종합병원,권역응급의료센터,강원,"강원도 강릉시 사천면 방동길 38,"
46,A2600011,목포한국병원,36100439,종합병원,권역응급의료센터,전남,"전라남도 목포시 영산로 483, (상동)"
47,A2100042,의료법인명지의료재단명지병원,31100376,종합병원,권역응급의료센터,경기,"경기도 고양시 덕양구 화수로14번길 55, (화정동)"
48,A2700014,의료법인안동병원,37100122,종합병원,권역응급의료센터,경북,경상북도 안동시 앙실로 11 (수상동)
49,A2900001,제주한라병원,39100022,종합병원,권역응급의료센터,제주,"제주특별자치도 제주시 도령로 65, (연동)"
50,A2800020,학교법인성균관대학삼성창원병원,38100525,종합병원,권역응급의료센터,경남,"경상남도 창원시 마산회원구 팔용로 158, (합성동)"
51,A1100038,한림대학교한강성심병원,11100257,종합병원,전문응급의료센터,서울,"서울특별시 영등포구 버드나루로7길 12, (영등포동7가,한강성심병원)"
52,A2100019,(의)영문의료재단다보스병원,31100953,종합병원,지역응급의료센터,경기,"경기도 용인시 처인구 백옥대로1082번길 18, (김량장동)"
53,A1400015,가톨릭관동대국제성모병원,31101186,종합병원,지역응급의료센터,인천,인천광역시 서구 심곡로100번길 25 (심곡동)
54,A2100052,가톨릭대학교부천성모병원,31100210,종합병원,지역응급의료센터,경기,"경기도 부천시 원미구 소사로 327, (소사동)"
55,A1100034,가톨릭대학교성바오로병원,11100150,종합병원,지역응급의료센터,서울,"서울특별시 동대문구 왕산로 180, (전농동)"
56,A2100012,가톨릭대학교성빈센트병원,31100058,종합병원,지역응급의료센터,경기,"경기도 수원시 팔달구 중부대로 93, (지동)"
57,A1100011,가톨릭대학교여의도성모병원,11100028,종합병원,지역응급의료센터,서울,"서울특별시 영등포구 63로 10, (여의도동)"
58,A2100029,강남병원,31100716,종합병원,지역응급의료센터,경기,"경기도 용인시 기흥구 중부대로 411, (신갈동)"
59,A1100043,강동경희대학교의대병원,11101270,종합병원,지역응급의료센터,서울,"서울특별시 강동구 동남로 892, (상일동)"
60,A2200009,강원대학교병원,32100213,종합병원,지역응급의료센터,강원,"강원도 춘천시 백령로 156, (효자동)"
61,A2200007,강원도삼척의료원,32100060,종합병원,지역응급의료센터,강원,"강원도 삼척시 오십천로 418, (남양동)"
62,A2200012,강원도속초의료원,32100141,종합병원,지역응급의료센터,강원,강원도 속초시 영랑호반길 3
63,A2300010,건국대학교의료원충주병원,33100136,종합병원,지역응급의료센터,충북,"충청북도 충주시 국원대로 82, (교현동)"
64,A1400010,검단탑병원,31100970,종합병원,지역응급의료센터,인천,"인천광역시 서구 청마로19번길 5, (당하동)"
65,A2100193,경기도의료원이천병원,31101151,종합병원,지역응급의료센터,경기,"경기도 이천시 경충대로 2742, (관고동)"
66,A2100035,경기도의료원파주병원,31100325,종합병원,지역응급의료센터,경기,"경기도 파주시 중앙로 207, (금촌동)"
